"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Nineteen eighty-four","","011304449","Monograph","Language material ; Text","Volume","GB8410148","","9780140009729","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","Harmondsworth","Penguin","1983","","267 pages, 18 cm","823.912","H.84/375","Fiction in English--1900-1945--Texts","","English","Originally published: London : Secker & Warburg, 1949",""
"Nineteen eighty-four","","011309014","Monograph","Language material ; Text","Volume","GB8411908","","9780140160086","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Permanent Penguins","","England","Harmondsworth","Martin Secker & Warburg ; Penguin","1983","","267 pages, 20 cm","823.912","X.958/20462","Fiction in English--1900-1945--Texts","","English","Originally published: London : Secker & Warburg, 1949",""
"Nineteen eighty-four","","011928226","Monograph","Language material ; Text","Volume","GB98X4534","","9780140278774","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Penguin ; Secker & Warburg","1998","","325 pages, 19 cm","823.912","H.98/1644","Totalitarianism--Fiction","Humour or satire","English","Originally published: London : Secker & Warburg, 1949",""
"Nineteen eighty-four","","011934889","Monograph","Language material ; Text","Volume","GB99V2969","","9780141182476","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Martin Secker & Warburg ; Penguin","2000","","xx, 325 pages, 20 cm","823.912","H.2000/1163","Totalitarianism--Fiction","Dystopia ; Fiction","English","Originally published: London: Secker & Warburg, 1949",""
"Nineteen eighty-four","","011935093","Monograph","Language material ; Text","Volume","GBA3Y2891","","9780141187358","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Penguin","2003","","xxv, 355 pages, 20 cm","823.912","H.2004/316","Totalitarianism--Fiction","Dystopia ; Fiction","English","Originally published: London : Secker & Warburg, 1949",""
"Nineteen eighty-four","","012599047","Monograph","Language material ; Text","Volume","GB8401433","","9780198185215","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Crick, Bernard, 1929-2008 [person]","","","England","Oxford","Clarendon","1984","","xi, 460 pages, 23 cm","823.912","X.950/34025","Fiction in English--1900-1945--Texts","","English","Includes index",""
"Nineteen eighty-four","","012635890","Monograph","Language material ; Text","Volume","GB8136959","","9780708980279","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Charnwood library series","","England","Leicester","Charnwood","1982","","430 pages, 23 cm","823.91 ; 823.912","Nov.46046","Fiction in English--1900-1945--Texts","","English","Originally published: London : Secker & Warburg, 1949 ; Published in large print",""
"Nineteen eighty-four","","012701537","Monograph","Language material ; Text","Volume","GB9341507","","9781857151343","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Everyman's library","134 [Everyman's library]","England","London","David Campbell","1992","","xlii, 325 pages, 21 cm","823.912","12206.P.1/1518","English fiction","","English","Originally published: Martin Secker and Warburg, 1949",""
"Nineteen eighty-four","","013207741","Monograph","Language material ; Text","Volume","","","9780140126716","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","","","Penguin","2005","","","","","","","","",""
"Nineteen eighty-four","","014583566","Monograph","Language material ; Text","Volume","GBA853993","","9780141036144","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Viking","2008","","vii, 325 pages, 19 cm","823.912","","Totalitarianism--Fiction","Fiction ; Humour or satire","English","Notes on the Text © Peter Davison 1989 ; Originally published: London: Secker & Warburg, 1949",""
"Nineteen eighty-four","","015102951","Monograph","Language material ; Text","Volume","GBA932812","","9780141191201","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Penguin","2009","","355 pages, 20 cm","823.912","H.2009/.4220","Totalitarianism--Fiction","Fiction ; Humour or satire","English","Originally published: London: Secker & Warburg, 1949",""
"Nineteen eighty-four","","015109659","Monograph","Language material ; Text","Volume","GBA936907","","9781846553288","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Harvill Secker","2009","","ix, 325 pages, 22 cm","823.912","NOV.2010/1205","Totalitarianism--Fiction","Fiction ; Humour or satire","English","Originally published: London: Secker & Warburg, 1949",""
"Nineteen eighty-four","","016126262","Monograph","Language material ; Text","Volume","GBB269837","","9780141391700","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person] ; Taylor, D. J. (David John), 1960-, writer [person]","Modern classics","","England","London","Penguin","2013","Annotated edition, with an introduction and notes by D.J. Taylor, and a note on the text by Peter Davison","xxi, 383 pages, 20 cm","823.912","H.2013/.9270","Totalitarianism--Fiction","Fiction ; Humour or satire","English","",""
"Nineteen eighty-four","","016272994","Monograph","Language material ; Text","Volume","","","9780141393049","Orwell, George","1903-1950","person","","Pynchon, Thomas [person] ; Orwell, George, 1903-1950 [person]","","","England","London","PHSA ; Pearson ; Penguin ; United Book","2013","","355 pages, 18 x 11 x 2 cm","","","","","English","paperback",""
"Nineteen eighty-four","","018143946","Monograph","Language material ; Text","Volume","GBB8E2010","","9781682171189","","","","","Horan, Thomas, 1974-, editor [person]","Critical insights","","United States of America","Amenia, New York","Grey House Publishing","2016","","xi, 253 pages, 24 cm","823.912","YC.2018.a.9133 ; m17/.10038","Dystopias in literature ; Totalitarianism in literature ; Orwell, George, 1903-1950","","English","",""
"Nineteen eighty-four","","018530040","Monograph","Language material ; Text","Online resource","GBB7I3499","","9780141919959","Orwell, George","1903-1950","person","","Pynchon, Thomas [person] ; Orwell, George, 1903-1950 [person]","","","England","London","Penguin","2003","","1 online resource (xxv, 357 pages","823.912","ELD.DS.196873","Totalitarianism ; Totalitarianism--Fiction ; FICTION / Political ; FICTION / Dystopian ; FICTION / Literary","Dystopia ; Fiction","English","Originally published: London : Secker & Warburg, 1949",""
"Nineteen eighty-four","","018827840","Monograph","Language material ; Text","Volume","GBB865039","","9780241341650","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","Penguin English library","","England","London","Penguin","2018","","1 volume, 20 cm","823.912","","","Humour or satire","English","",""
"Nineteen eighty-four","","018892034","Monograph","Language material ; Text","Volume","GBB8A2595","","9781787301085","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","The complete works of George Orwell","9 [The complete works of George Orwell]","England","London","Harvill Secker","2018","","1 volume","823.912","","","Humour or satire","English","",""
"Nineteen eighty-four","'1984' et les présents de l'univers informationnel : 34 auteurs pour un colloque","010793081","Monograph","Language material ; Text","Volume","","","9782858502936","","","","","Centre de création industrielle [organisation] ; Weissberg, Jean-Louis [person]","Alors","","France","Paris","Centre Georges Pompidou, Centre de Création Industrielle","1985","","466 pages","","YA.1987.a.8269","Orwell, George, 1903-1950","","French","Colloque ... organisé par le Centre de Création Industrielle les 1, 2 et 3 octobre 1984 au Centre Georges Pompidou",""
"Nineteen eighty-four","1984 ; 1984nen ; 一九八四年","016389392","Monograph","Language material ; Text","Volume","","","","","","","","Yoshida, Kenichi [person] ; 吉田健一 (1912-1977) [person] ; Orwell, George, 1903-1950 [person] ; 龍口直太郎 (1903-1979) [person] ; Tatsunokuchi, Naotarō [person]","","","Japan","","文藝春秋新社","1950","","386 pages, 19 cm","","16290.c.3","","","Japanese","",""
"Nineteen eighty-four","1984 ; Brodie's notes on George Orwell's Nineteen eighty-four","010047804","Monograph","Language material ; Text","Volume","GB9113705","","9780330503013","Brown, G. E. (George Eric)","","person","","Orwell, George, 1903-1950 [person] ; Brown, G. E. (George Eric) [person]","","","England","London","","1990","","80 pages, 20 cm","823.912","YK.1991.a.3374","English fiction ; Orwell, George, 1903-1950","","English","Cover title: 1984 ; Previous edition: 1977",""
"Nineteen eighty-four","1984 ; George Orwell's 1984","016164206","Monograph","Language material ; Text","Volume","GBB289752","","9780878919963","Brodeur, Karen","","person","","Brodeur, Karen [person] ; Pica, Karen [person]","Maxnotes","","England ; United States of America","Brighton ; Piscataway, New Jersey","Research & Education Association ; Roundhouse","2012","","1 volume, illustrations, 21 cm","823.912","","Orwell, George, 1903-1950","","English","",""
"Nineteen eighty-four","1984 ; Ninteen eighty four","018510857","Monograph","Language material ; Text","Online resource","GBB7H2551","","9780718193645 ; 9781783195602","Icke, Robert","","person","","Macmillan, Duncan [person] ; Orwell, George, 1903-1950 [person] ; Icke, Robert [person]","Oberon modern plays","","England","London","Oberon","2013","","1 online resource (170 pages)","822.92","ELD.DS.182838","England--London ; FICTION / Dystopian ; FICTION / Political ; Totalitarianism--Drama ; London (England)--Drama","Drama","English","",""
"Nineteen eighty-four","1984","006455372","Monograph","Language material ; Text","Volume","","","9780436231315","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","The complete works of George Orwell","volume 9 [The complete works of George Orwell]","England","London","Secker & Warburg","1997","","340 pages, 24 cm","823.912","98/28229","","","English","'First published in England in 1949 by Martin Secker & Warburg Limited. reprinted 1950 (twice) . Uniform edition first published in England in 1950. reprinted 1951, 1954, 1955 (twice), 1959, 1962, 1970, 1974. Reset 1984. Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t.p. verso",""
"Nineteen eighty-four","1984","010702712","Monograph","Language material ; Text","Volume","GBA363227","","9780582777316","Dean, Michael","1949-","person","","Dean, Michael, 1949- [person] ; Orwell, George, 1903-1950 [person]","Penguin readers. Level 4","","England","Harlow","Pearson","2003","","vii, 71 pages, illustrations, 20 cm","428.6","YK.2003.a.19247","Totalitarianism--Fiction","Dystopia ; Fiction ; Reader","English","",""
"Nineteen eighty-four","1984","016540382","Monograph","Language material ; Text","Volume","GBB619414","","9781783190614","Icke, Robert","","person","author","Orwell, George, 1903-1950 [person] ; Macmillan, Duncan, author [person] ; Icke, Robert, author [person]","Oberon modern plays","","England","London","Oberon","2013","","96 pages, 21 cm","822.92","YC.2015.a.15847","","","English","",""
"Nineteen eighty-four","1984","018636809","Monograph","Language material ; Text","Volume","GBB7N3466","","9781784874155","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","","","England","London","Vintage","2018","","325 pages, 23 cm","823.912","Nov.2018/2297","","Humour or satire","English","Originally published: London : Martin Secker & Warburg, 1949",""
"Nineteen eighty-four","1984","018727471","Monograph","Language material ; Text","Online resource","GBB833496","","9781783195602","Icke, Robert","","person","author","Orwell, George, 1903-1950 [person] ; Macmillan, Duncan, author [person] ; Icke, Robert, author [person]","Oberon modern plays","","England","London","Oberon","2014","","1 online resource","822.92","ELD.DS.261334","Dystopian plays ; Totalitarianism ; Totalitarianism--Drama ; DRAMA--English, Irish, Scottish, Welsh","Drama","English","Originally published in 2013; reprinted in 2014",""
"Nineteen eighty-four","Animal farm ; Animal farm and Nineteen eighty-four","010684202","Monograph","Language material ; Text","Volume","GB8735882","","9780335152650 ; 9780335152667","Calder, Jenni","","person","","Orwell, George, 1903-1950 [person] ; Calder, Jenni [person]","Open guides to literature","","England","Milton Keynes","Open University Press","1987","","x, 110 pages, 1 portrait, 23 cm","823.912","87/29860 ; YH.1988.a.151","Dystopias in literature ; Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","English","Includes index",""
